DataTimeStamp,WaveType,ZCN,Havg,Tavg,Hmax,Tmax,MaxCrest,Hsig,Tsig,H110,T110,MeanPeriod,MeanDirection,MeanSpread,PeakPeriod,PeakDirection,PeakSpread,TP5,HM0,Te,DurationMs,F1,F2
2020-12-01 11:40:00,0.0,136.0,2.279,7.599,5.23,,,3.66,11.399,4.519,12.6,7.9,290.7990000000001,24.399,14.3,,,13.8,3.809,,,,
2020-12-01 12:00:00,0.0,123.0,2.63,8.0,6.65,,,4.11,11.699000000000002,4.9289999999999985,12.399,8.699,286.2990000000001,24.2,12.5,,,12.8,4.26,,,,
2020-12-01 12:20:00,0.0,129.0,2.559,7.9,6.9,,,4.039,11.1,4.94,11.8,8.3,286.2990000000001,25.2,15.399,,,14.1,4.19,,,,
2020-12-01 12:40:00,0.0,138.0,2.289,7.8,5.4289999999999985,,,3.71,10.899,4.57,12.199000000000002,7.8,288.7,24.2,14.3,,,14.1,4.0,,,,
2020-12-01 13:00:00,0.0,140.0,2.21,7.699,5.76,,,3.64,11.1,4.4689999999999985,11.8,7.599,291.399,28.0,14.3,,,13.3,3.88,,,,
2020-12-01 13:20:00,0.0,136.0,2.25,7.9,5.5,,,3.759,11.399,4.63,11.6,7.9,288.899,24.5,13.3,,,12.899,3.9,,,,
2020-12-01 13:40:00,0.0,124.0,2.319,7.9,5.48,,,3.769,11.6,4.51,11.8,8.6,289.6,25.6,13.3,,,13.1,3.88,,,,
2020-12-01 14:00:00,0.0,123.0,2.63,8.399,7.57,,,4.26,12.1,5.61,13.1,8.699,284.7990000000001,21.1,15.399,,,14.699000000000002,4.42,,,,
2020-12-01 14:20:00,0.0,105.0,2.95,8.699,6.6789999999999985,,,4.5,13.0,5.38,12.899,10.1,286.399,20.5,15.399,,,14.699000000000002,4.6389999999999985,,,,
2020-12-01 14:40:00,0.0,123.0,2.529,7.8,5.07,,,3.859,11.699000000000002,4.579,11.399,8.699,289.0,22.5,13.3,,,13.0,4.059,,,,
2020-12-01 15:00:00,0.0,130.0,2.25,7.8,6.409,,,3.599,11.8,4.63,11.5,8.199,289.5,27.7,14.3,,,14.1,3.74,,,,
2020-12-01 15:20:00,0.0,130.0,2.5,8.1,6.039,,,4.0,11.399,4.71,11.5,8.199,286.6,23.5,12.5,,,12.6,4.269,,,,
2020-12-01 15:40:00,0.0,135.0,2.25,7.8,6.599,,,3.73,10.899,4.6789999999999985,11.399,8.0,288.899,26.7,13.3,,,13.1,3.829,,,,
2020-12-01 16:00:00,0.0,138.0,2.16,7.8,5.489,,,3.579,11.0,4.619,12.0,7.8,289.399,26.1,14.3,,,13.399,3.769,,,,
